sample_fp	plate	well	tile	cycle
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c4/WellA1_PointA1_0006_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0006.nd2	1	A1	6	4
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c5/WellA1_PointA1_0006_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0006.nd2	1	A1	6	5
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c6/WellA1_PointA1_0006_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0006.nd2	1	A1	6	6
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c7/WellA1_PointA1_0006_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0006.nd2	1	A1	6	7
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c8/WellA1_PointA1_0006_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0006.nd2	1	A1	6	8
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c9/WellA1_PointA1_0006_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0006.nd2	1	A1	6	9
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c10/WellA1_PointA1_0006_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0006.nd2	1	A1	6	10
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c11/WellA1_PointA1_0006_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0006.nd2	1	A1	6	11
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c12/WellA1_PointA1_0006_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0006.nd2	1	A1	6	12
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c13/WellA1_PointA1_0006_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0006.nd2	1	A1	6	13
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c14/WellA1_PointA1_0006_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0006.nd2	1	A1	6	14
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c15/WellA1_PointA1_0006_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0006.nd2	1	A1	6	15
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c1/WellA1_PointA1_0007_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0007.nd2	1	A1	7	1
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c2/WellA1_PointA1_0007_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0007.nd2	1	A1	7	2
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c3/WellA1_PointA1_0007_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0007.nd2	1	A1	7	3
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c4/WellA1_PointA1_0007_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0007.nd2	1	A1	7	4
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c5/WellA1_PointA1_0007_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0007.nd2	1	A1	7	5
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c6/WellA1_PointA1_0007_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0007.nd2	1	A1	7	6
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c7/WellA1_PointA1_0007_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0007.nd2	1	A1	7	7
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c8/WellA1_PointA1_0007_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0007.nd2	1	A1	7	8
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c9/WellA1_PointA1_0007_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0007.nd2	1	A1	7	9
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c10/WellA1_PointA1_0007_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0007.nd2	1	A1	7	10
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c11/WellA1_PointA1_0007_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0007.nd2	1	A1	7	11
