round	well	tile	channel
1	A1	117	AF750
1	A1	117	CY3
1	A1	117	CY5
1	A1	117	DAPI
1	A1	117	GFP
1	A1	118	AF750
1	A1	118	CY3
1	A1	118	CY5
1	A1	118	DAPI
1	A1	118	GFP
1	A1	119	AF750
1	A1	119	CY3
1	A1	119	CY5
1	A1	119	DAPI
1	A1	119	GFP
1	A1	120	AF750
1	A1	120	CY3
1	A1	120	CY5
1	A1	120	DAPI
1	A1	120	GFP
1	A1	121	AF750
1	A1	121	CY3
1	A1	121	CY5
1	A1	121	DAPI
1	A1	121	GFP
1	A1	122	AF750
1	A1	122	CY3
1	A1	122	CY5
1	A1	122	DAPI
1	A1	122	GFP
1	A1	123	AF750
1	A1	123	CY3
1	A1	123	CY5
1	A1	123	DAPI
1	A1	123	GFP
1	A1	124	AF750
1	A1	124	CY3
1	A1	124	CY5
1	A1	124	DAPI
1	A1	124	GFP
1	A1	125	AF750
1	A1	125	CY3
1	A1	125	CY5
1	A1	125	DAPI
1	A1	125	GFP
1	A1	126	AF750
1	A1	126	CY3
1	A1	126	CY5
1	A1	126	DAPI
1	A1	126	GFP
1	A1	127	AF750
1	A1	127	CY3
1	A1	127	CY5
1	A1	127	DAPI
1	A1	127	GFP
1	A1	128	AF750
1	A1	128	CY3
1	A1	128	CY5
1	A1	128	DAPI
1	A1	128	GFP
1	A1	129	AF750
1	A1	129	CY3
1	A1	129	CY5
1	A1	129	DAPI
1	A1	129	GFP
1	A1	130	AF750
1	A1	130	CY3
1	A1	130	CY5
1	A1	130	DAPI
1	A1	130	GFP
1	A1	131	AF750
1	A1	131	CY3
1	A1	131	CY5
1	A1	131	DAPI
1	A1	131	GFP
1	A1	132	AF750
1	A1	132	CY3
1	A1	132	CY5
1	A1	132	DAPI
1	A1	132	GFP
1	A1	133	AF750
1	A1	133	CY3
1	A1	133	CY5
1	A1	133	DAPI
1	A1	133	GFP
1	A1	134	AF750
1	A1	134	CY3
1	A1	134	CY5
1	A1	134	DAPI
1	A1	134	GFP
1	A1	135	AF750
1	A1	135	CY3
1	A1	135	CY5
1	A1	135	DAPI
1	A1	135	GFP
1	A1	136	AF750
1	A1	136	CY3
1	A1	136	CY5
1	A1	136	DAPI
1	A1	136	GFP
1	A1	137	AF750
1	A1	137	CY3
1	A1	137	CY5
1	A1	137	DAPI
1	A1	137	GFP
1	A1	138	AF750
1	A1	138	CY3
1	A1	138	CY5
1	A1	138	DAPI
1	A1	138	GFP
1	A1	139	AF750
1	A1	139	CY3
1	A1	139	CY5
1	A1	139	DAPI
1	A1	139	GFP
1	A1	140	AF750
1	A1	140	CY3
1	A1	140	CY5
1	A1	140	DAPI
1	A1	140	GFP
