sample_fp	plate	well	round	tile	channel
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0029_ChannelCY3_30p_100ms_Seq0146.nd2	1	A1	1	29	CY3
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0029_ChannelCY5_40p_100ms_Seq0147.nd2	1	A1	1	29	CY5
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0029_ChannelDAPI_1p_50ms_Seq0145.nd2	1	A1	1	29	DAPI
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0029_ChannelGFP_5p_100ms_Seq0149.nd2	1	A1	1	29	GFP
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0030_ChannelAF750_30p_100ms_Seq0153.nd2	1	A1	1	30	AF750
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0030_ChannelCY3_30p_100ms_Seq0151.nd2	1	A1	1	30	CY3
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0030_ChannelCY5_40p_100ms_Seq0152.nd2	1	A1	1	30	CY5
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0030_ChannelDAPI_1p_50ms_Seq0150.nd2	1	A1	1	30	DAPI
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0030_ChannelGFP_5p_100ms_Seq0154.nd2	1	A1	1	30	GFP
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0031_ChannelAF750_30p_100ms_Seq0158.nd2	1	A1	1	31	AF750
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0031_ChannelCY3_30p_100ms_Seq0156.nd2	1	A1	1	31	CY3
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0031_ChannelCY5_40p_100ms_Seq0157.nd2	1	A1	1	31	CY5
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0031_ChannelDAPI_1p_50ms_Seq0155.nd2	1	A1	1	31	DAPI
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0031_ChannelGFP_5p_100ms_Seq0159.nd2	1	A1	1	31	GFP
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0032_ChannelAF750_30p_100ms_Seq0163.nd2	1	A1	1	32	AF750
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0032_ChannelCY3_30p_100ms_Seq0161.nd2	1	A1	1	32	CY3
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0032_ChannelCY5_40p_100ms_Seq0162.nd2	1	A1	1	32	CY5
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0032_ChannelDAPI_1p_50ms_Seq0160.nd2	1	A1	1	32	DAPI
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0032_ChannelGFP_5p_100ms_Seq0164.nd2	1	A1	1	32	GFP
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0033_ChannelAF750_30p_100ms_Seq0168.nd2	1	A1	1	33	AF750
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0033_ChannelCY3_30p_100ms_Seq0166.nd2	1	A1	1	33	CY3
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0033_ChannelCY5_40p_100ms_Seq0167.nd2	1	A1	1	33	CY5
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0033_ChannelDAPI_1p_50ms_Seq0165.nd2	1	A1	1	33	DAPI
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0033_ChannelGFP_5p_100ms_Seq0169.nd2	1	A1	1	33	GFP
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0034_ChannelAF750_30p_100ms_Seq0173.nd2	1	A1	1	34	AF750
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0034_ChannelCY3_30p_100ms_Seq0171.nd2	1	A1	1	34	CY3
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0034_ChannelCY5_40p_100ms_Seq0172.nd2	1	A1	1	34	CY5
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0034_ChannelDAPI_1p_50ms_Seq0170.nd2	1	A1	1	34	DAPI
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0034_ChannelGFP_5p_100ms_Seq0174.nd2	1	A1	1	34	GFP
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0035_ChannelAF750_30p_100ms_Seq0178.nd2	1	A1	1	35	AF750
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0035_ChannelCY3_30p_100ms_Seq0176.nd2	1	A1	1	35	CY3
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0035_ChannelCY5_40p_100ms_Seq0177.nd2	1	A1	1	35	CY5
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0035_ChannelDAPI_1p_50ms_Seq0175.nd2	1	A1	1	35	DAPI
